car_0 , car_1 , car_2
1.48275 ,1.94281 ,2.02211
8.91181 ,6.08143 ,6.71708
1.05657 ,0.918781 ,0.836559
0.832138 ,0.162576 ,0.267656
1.76767 ,0.922063 ,0.55345
8.84934 ,7.92799 ,7.89997
3.84979 ,3.52401 ,3.08464
0.258157 ,0.112316 ,0.0966177
2.98689 ,1.60352 ,1.31556
8.21925 ,5.74602 ,7.67327
2.62845 ,1.74861 ,1.23525
2.5452 ,1.48205 ,2.32569
3.20727 ,3.37241 ,4.44752
0.518707 ,0.189616 ,0.31629
4.39278 ,4.66863 ,5.17404
0.106225 ,0.28876 ,0.226252
1.2838 ,0.990335 ,1.64149
3.47579 ,2.47943 ,1.68067
0.927329 ,1.42389 ,1.78689
5.66185 ,3.48136 ,3.11469
2.06722 ,1.79717 ,1.18259
6.50001 ,3.55634 ,3.37895
4.43894 ,2.37529 ,2.93996
6.88333 ,6.70736 ,8.17508
0.0949609 ,1.00676 ,0.852707
4.4052 ,1.9679 ,2.58404
1.78674 ,1.34208 ,1.05386
2.45048 ,1.1655 ,0.727143
0.685961 ,1.64963 ,1.90754
5.82822 ,3.04787 ,3.71615
1.42295 ,1.43214 ,1.13594
4.12542 ,3.98471 ,4.46945
2.97095 ,4.64414 ,3.79814
0.489144 ,0.0684488 ,0.156747
1.69432 ,1.05589 ,1.08324
2.95886 ,2.07622 ,1.80258
3.954 ,2.82982 ,3.08418
0.409925 ,0.801792 ,0.595134
1.80903 ,2.82859 ,2.85777
1.54177 ,1.12073 ,1.05444
5.00732 ,3.93448 ,3.9684
1.23423 ,0.424051 ,0.440692
2.6717 ,3.74918 ,3.59576
2.85198 ,2.24554 ,2.26566
3.07825 ,1.69541 ,1.70536
5.04837 ,2.79943 ,2.78938
0.346561 ,0.205657 ,0.208896
0.910727 ,1.35216 ,1.35962
1.32798 ,0.461956 ,0.394115
2.12177 ,1.17726 ,1.1202
8.20229 ,8.66675 ,8.57288
6.37448 ,3.50574 ,3.394
